,subj,pred,obj
8161,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Muscle hyperirritability
8162,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Absent middle phalanx of 5th finger
8163,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Tibial deviation of toes
8164,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Cleft mandible
8165,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Cleft lower alveolar ridge
8166,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Agenesis of mandibular central incisor
8167,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Abnormal aryepiglottic fold morphology
8168,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Prominent deltoid tuberosities
8169,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Hemiballismus
8170,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Abnormality of the acetabulum
8171,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Abnormality of body height
8172,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Absent vestibular function
8173,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Vestibular hypofunction
8174,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Aplasia/Hypoplasia of the bladder
8175,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Calcific stippling of infantile cartilaginous skeleton
8176,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Ulnar deviation of thumb
8177,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Testicular teratoma
8178,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Hypoplastic right heart
8179,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Intraalveolar nodular calcifications
8180,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Diffuse
8181,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Pleural empyema
8182,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Pulmonary arteriovenous fistulas
8183,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Premature occlusive vascular stenosis
8184,"High density lipoprotein deficiency, type 1; HDLDT1; High density lipoprotein deficiency, Tangier type;",same,Medial calcification of medium-sized arteries
8185,BEN; Aristolochic acid nephropathy; AAN;,same,Intermittent thrombocytopenia
8186,Attenuated FAP; AFAP; Mild form of FAP;,same,Tongue-like lumbar vertebral deformities
8187,Attenuated FAP; AFAP; Mild form of FAP;,same,Spatulate ribs
8188,Attenuated FAP; AFAP; Mild form of FAP;,same,Small epiphyses of the phalanges of the hand
8189,Attenuated FAP; AFAP; Mild form of FAP;,same,"Fragmented, irregular epiphyses"
8190,Attenuated FAP; AFAP; Mild form of FAP;,same,Fragmented epiphyses
8191,Attenuated FAP; AFAP; Mild form of FAP;,same,Wind-swept deformity of the knees
8192,Attenuated FAP; AFAP; Mild form of FAP;,same,Mottled pigmentation of photoexposed areas
8193,Attenuated FAP; AFAP; Mild form of FAP;,same,Tetralogy of Fallot with atrioventricular canal defect
8194,Attenuated FAP; AFAP; Mild form of FAP;,same,Renotubular dysgenesis
8195,Attenuated FAP; AFAP; Mild form of FAP;,same,Acromicria
8196,Attenuated FAP; AFAP; Mild form of FAP;,same,Decreased inhibin B level
8197,Attenuated FAP; AFAP; Mild form of FAP;,same,Thunderclap headache
8198,Attenuated FAP; AFAP; Mild form of FAP;,same,Abnormal size of pituitary gland
8199,Attenuated FAP; AFAP; Mild form of FAP;,same,Spinous keratoses of palms and soles
8200,Attenuated FAP; AFAP; Mild form of FAP;,same,Bladder neoplasm
8201,Attenuated FAP; AFAP; Mild form of FAP;,same,Hypoplasia of the ventral pons
8202,Attenuated FAP; AFAP; Mild form of FAP;,same,Basal ganglia gliosis
8203,Attenuated FAP; AFAP; Mild form of FAP;,same,Pontine tegmental cap
8204,Attenuated FAP; AFAP; Mild form of FAP;,same,Dysplastic distal thumb phalanges with a central hole
8205,Attenuated FAP; AFAP; Mild form of FAP;,same,1-5 toe syndactyly
8206,Attenuated FAP; AFAP; Mild form of FAP;,same,Opposable triphalangeal thumb
8207,Attenuated FAP; AFAP; Mild form of FAP;,same,Unilateral oligodactyly
8208,Attenuated FAP; AFAP; Mild form of FAP;,same,Unilateral hypoplasia of pectoralis major muscle
8209,Attenuated FAP; AFAP; Mild form of FAP;,same,Unilateral absence of pectoralis major muscle
8210,Attenuated FAP; AFAP; Mild form of FAP;,same,Hypoplasia of serratus anterior muscle
8211,Attenuated FAP; AFAP; Mild form of FAP;,same,Hypoplasia of latissimus dorsi muscle
8212,Attenuated FAP; AFAP; Mild form of FAP;,same,Unilateral brachydactyly
8213,Attenuated FAP; AFAP; Mild form of FAP;,same,Forearm reduction defects
8214,Attenuated FAP; AFAP; Mild form of FAP;,same,Abnormal circulating threonine concentration
8215,Attenuated FAP; AFAP; Mild form of FAP;,same,Abnormal circulating histidine concentration
8216,Attenuated FAP; AFAP; Mild form of FAP;,same,Abnormal circulating glycine concentration
8217,Attenuated FAP; AFAP; Mild form of FAP;,same,Low APGAR score
8218,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Unusual gastrointestinal infection
8219,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Humoral immunodeficiency
8220,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Bloodstream infectious agent
8221,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Combined cystic and ground-glass pattern on pulmonary HRCT
8222,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Pneumocystis jirovecii pneumonia
8223,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Early progressive calcific cardiac valvular disease
8224,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Factor X activation deficiency
8225,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Reduced red cell pyruvate kinase level
8226,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Gluten intolerance
8227,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Altitudinal visual field defect
8228,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Temporal hypotrichosis
8229,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Hair-nail ectodermal dysplasia
8230,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Congenital onychodystrophy
8231,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Athetoid cerebral palsy
8232,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Hyperapobetalipoproteinemia
8233,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Episodic hemolytic anemia
8234,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Abnormality of cerebral veins
8235,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Multiple trichilemmomata
8236,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Cortical subperiosteal resorption of humeral metaphyses
8237,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Hypoglycinemia
8238,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Hyposerinemia
8239,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Increased phosphoribosylpyrophosphate synthetase level
8240,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Asymmetric radial dysplasia
8241,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Episodic hypertension
8242,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Bloody diarrhea
8243,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Abnormal nasal base
8244,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Decreased hemoglobin concentration
8245,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Dysfunctional alternative complement pathway
8246,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Aplastic/hypoplastic lacrimal glands
8247,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Thinning of Descemet membrane
8248,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Central opacification of the cornea
8249,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Anterior synechiae of the anterior chamber
8250,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Moderate albuminuria
8251,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Reduction of oligodendroglia
8252,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Refractory sideroblastic anemia
8253,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Complex organic aciduria
8254,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Macronodular cirrhosis
8255,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Decreased serum bicarbonate concentration
8256,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Corneal stromal edema
8257,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Osteolytic defects of the middle phalanx of the 4th toe
8258,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Absent pigmentation of the ventral chest
8259,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Generalized bronze hyperpigmentation
8260,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Deformed humeral heads
8261,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Persistent patent ductus venosus
8262,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Congenital portosystemic venous shunt
8263,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Subglottic hemangioma
8264,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Plaque-like facial hemangioma
8265,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Lingual thyroid
8266,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Increased retinal vascularity
8267,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Anomalous branches of internal carotid artery
8268,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Midsystolic murmur
8269,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Inlet ventricular septal defect
8270,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Hypertrophy of the upper limb
8271,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Conus terminalis arteriovenous malformation
8272,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Bounding pulse
8273,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Separation insecurity
8274,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Claustrophobia
8275,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Multiple pancreatic beta-cell adenomas
8276,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Polyneuritis
8277,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Agenesis of maxillary central incisor
8278,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Abnormality of the scalp hair
8279,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Scissor gait
8280,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Monotonic speech
8281,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Contracture of the proximal interphalangeal joint of the 4th finger
8282,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Reduced 5-oxoprolinase level
8283,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Increased intracellular sodium
8284,AARRS; Ulna and fibula absence of with severe limb deficiency; Schinzel phocomelia syndrome;,same,Decreased mean corpuscular hemoglobin concentration
8285,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Ovarian papillary adenocarcinoma
8286,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Otitis media with effusion
8287,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Agenesis of premolar
8288,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormality of the maxilla
8289,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormality of canine
8290,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Absent anterior chamber of the eye
8291,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Visual acuity light perception with projection
8292,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormal femoral neck/head morphology
8293,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Angle closure glaucoma
8294,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Limited knee flexion
8295,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Lateral femoral bowing
8296,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormality of the fifth metatarsal bone
8297,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Membranous subvalvular aortic stenosis
8298,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormal vocal cord morphology
8299,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Decreased mobility 3rd-5th fingers
8300,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Lateral humeral condyle aplasia
8301,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Cerebellar Purkinje layer atrophy
8302,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormality of the spinocerebellar tracts
8303,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Primum atrial septal defect
8304,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormal left ventricle morphology
8305,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Type 1 collagen overmodification
8306,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Hypoplastic pulmonary veins
8307,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Externally rotated/abducted legs
8308,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Anterior radial head dislocation
8309,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Severe generalized osteoporosis
8310,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Ectopic accessory finger-like appendage
8311,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Agenesis of canine
8312,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Absent cupid's bow
8313,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Suprasellar arachnoid cyst
8314,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Eyelid myoclonias
8315,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormality of orbicularis oris muscle
8316,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,"Nasal, dysarthic speech"
8317,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Fifth finger distal phalanx clinodactyly
8318,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,2-4 toe cutaneous syndactyly
8319,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,4-5 finger syndactyly
8320,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Cephalocele
8321,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Atretic occipital cephalocele
8322,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Lipoma of corpus callosum
8323,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Horizontal jerk nystagmus
8324,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Mycobacterium abscessus abscessus infection
8325,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Pulmonary opacity
8326,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Abnormal blood gas level
8327,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Perineal hemangioma
8328,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Pineal cyst
8329,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Chronic pancreatitis
8330,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Low cholesterol esterification rate
8331,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Tibial pseudarthrosis
8332,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Palmar neurofibromas
8333,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Neoplasm of the trachea
8334,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Multiple intestinal neurofibromatosis
8335,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Facial neoplasm
8336,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Symmetric spinal nerve root neurofibromas
8337,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Peripheral nerve compression
8338,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Paraspinal neurofibromas
8339,Aarskog Scott syndrome; Faciodigitogenital syndrome; Faciogenital dysplasia;,same,Nephrogenic rest
8340,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Nephroblastomatosis
8341,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Distal ileal atresia
8342,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Metaphyseal rarefaction
8343,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Blotching pigmentation of the skin
8344,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Ectopic thyroid
8345,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Absent patellar reflexes
8346,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Lagopthalmos
8347,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Cervical vertebral dysplasia
8348,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Congenital generalized lipodystrophy
8349,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Elevated urinary homovanillic acid
8350,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Elevated urinary catecholamines
8351,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Lipomas of eyelids
8352,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Ectopic lacrimal punctum
8353,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Corticospinal tract atrophy
8354,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,T-cell lymphoma/leukemia
8355,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Irregular femoral epiphysis
8356,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Muscle hypertrophy of the lower extremities
8357,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Lid lag on downgaze
8358,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Muscle fiber tubular inclusions
8359,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Scapuloperoneal myopathy
8360,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Single lineage myelodysplasia
8361,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Abnormal mean corpuscular volume
8362,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Abnormal albumin level
8363,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Single fiber EMG abnormality
8364,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Muscle specific kinase antibody positivity
8365,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Acetylcholine receptor antibody positivity
8366,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Skin fissure
8367,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Progressive ptosis
8368,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Allergic conjunctivitis
8369,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Lack of facial subcutaneous fat
8370,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Schmorl's node
8371,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Flat distal femoral epiphysis
8372,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Pancreatic lymphangiectasis
8373,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Pericardial constriction
8374,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Thimble-shaped middle phalanges of hand
8375,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Symphalangism affecting the phalanges of the hallux
8376,"Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature",same,Female anorgasmia
